Title,Followers,Main Story
The Legend of Zelda: Breath of the Wild,N/A,Nintendo EPD
Chrono Trigger,N/A,Square
Super Mario 64,N/A,Nintendo EAD
Resident Evil 4 [2005],N/A,Capcom Production Studio 4
Halo 2,N/A,Bungie
The Legend of Zelda: Ocarina of Time,N/A,Nintendo EAD
Undertale,N/A,TobyFox
The Last of Us,N/A,Naughty Dog
Dark Souls,N/A,FromSoftware
Mega Man 2,N/A,Capcom
Grand Theft Auto V,N/A,Rockstar North
Super Mario World,N/A,Nintendo EAD
Portal,N/A,Valve
Super Smash Bros. Melee,N/A,HAL Laboratory
Doom (1993),N/A,Id Software
Elden Ring,N/A,FromSoftware
GoldenEye 007,N/A,Rare
The Elder Scrolls V: Skyrim,N/A,Bethesda Game Studios
Metroid Prime,N/A,Retro
Outer Wilds,N/A,Mobius Entertainment
